min_energy, method, accuracy
0.10, cosine_similarity, 0.805
0.10, scaled_cosine_similarity, 0.805
0.10, cosine_similarity, 0.7675
0.10, scaled_cosine_similarity, 0.7675
0.10, cosine_similarity, 0.8025
0.10, scaled_cosine_similarity, 0.8025
0.10, cosine_similarity, 0.835
0.10, scaled_cosine_similarity, 0.835
0.10, cosine_similarity, 0.8025
0.10, scaled_cosine_similarity, 0.8025
0.10, cosine_similarity, 0.8075
0.10, scaled_cosine_similarity, 0.8075
0.10, cosine_similarity, 0.855
0.10, scaled_cosine_similarity, 0.83
0.10, cosine_similarity, 0.7725
0.10, scaled_cosine_similarity, 0.7725
0.10, cosine_similarity, 0.805
0.10, scaled_cosine_similarity, 0.805
0.10, cosine_similarity, 0.785
0.10, scaled_cosine_similarity, 0.785
0.20, cosine_similarity, 0.91
0.20, scaled_cosine_similarity, 0.8775
0.20, cosine_similarity, 0.91
0.20, scaled_cosine_similarity, 0.86
0.20, cosine_similarity, 0.9025
0.20, scaled_cosine_similarity, 0.8775
0.20, cosine_similarity, 0.8975
0.20, scaled_cosine_similarity, 0.8675
0.20, cosine_similarity, 0.89
0.20, scaled_cosine_similarity, 0.8375
0.20, cosine_similarity, 0.8775
0.20, scaled_cosine_similarity, 0.85
0.20, cosine_similarity, 0.89
0.20, scaled_cosine_similarity, 0.87
0.20, cosine_similarity, 0.915
0.20, scaled_cosine_similarity, 0.88
0.20, cosine_similarity, 0.8825
0.20, scaled_cosine_similarity, 0.845
0.20, cosine_similarity, 0.8425
0.20, scaled_cosine_similarity, 0.8125
0.30, cosine_similarity, 0.9525
0.30, scaled_cosine_similarity, 0.89
0.30, cosine_similarity, 0.935
0.30, scaled_cosine_similarity, 0.8675
0.30, cosine_similarity, 0.9275
0.30, scaled_cosine_similarity, 0.8725
0.30, cosine_similarity, 0.9225
0.30, scaled_cosine_similarity, 0.86
0.30, cosine_similarity, 0.91
0.30, scaled_cosine_similarity, 0.855
0.30, cosine_similarity, 0.9475
0.30, scaled_cosine_similarity, 0.8775
0.30, cosine_similarity, 0.9475
0.30, scaled_cosine_similarity, 0.8775
0.30, cosine_similarity, 0.925
0.30, scaled_cosine_similarity, 0.89
0.30, cosine_similarity, 0.9375
0.30, scaled_cosine_similarity, 0.8875
0.30, cosine_similarity, 0.93
0.30, scaled_cosine_similarity, 0.875
0.40, cosine_similarity, 0.955
0.40, scaled_cosine_similarity, 0.8875
0.40, cosine_similarity, 0.93
0.40, scaled_cosine_similarity, 0.8725
0.40, cosine_similarity, 0.9275
0.40, scaled_cosine_similarity, 0.88
0.40, cosine_similarity, 0.945
0.40, scaled_cosine_similarity, 0.8825
0.40, cosine_similarity, 0.9475
0.40, scaled_cosine_similarity, 0.875
0.40, cosine_similarity, 0.93
0.40, scaled_cosine_similarity, 0.8225
0.40, cosine_similarity, 0.915
0.40, scaled_cosine_similarity, 0.865
0.40, cosine_similarity, 0.9575
0.40, scaled_cosine_similarity, 0.9025
0.40, cosine_similarity, 0.94
0.40, scaled_cosine_similarity, 0.9025
0.40, cosine_similarity, 0.94
0.40, scaled_cosine_similarity, 0.87
0.50, cosine_similarity, 0.96
0.50, scaled_cosine_similarity, 0.885
0.50, cosine_similarity, 0.94
0.50, scaled_cosine_similarity, 0.8625
0.50, cosine_similarity, 0.9525
0.50, scaled_cosine_similarity, 0.895
0.50, cosine_similarity, 0.945
0.50, scaled_cosine_similarity, 0.9
0.50, cosine_similarity, 0.9325
0.50, scaled_cosine_similarity, 0.885
0.50, cosine_similarity, 0.9525
0.50, scaled_cosine_similarity, 0.8825
0.50, cosine_similarity, 0.955
0.50, scaled_cosine_similarity, 0.8925
0.50, cosine_similarity, 0.9575
0.50, scaled_cosine_similarity, 0.905
0.50, cosine_similarity, 0.95
0.50, scaled_cosine_similarity, 0.875
0.50, cosine_similarity, 0.955
0.50, scaled_cosine_similarity, 0.885
0.60, cosine_similarity, 0.93
0.60, scaled_cosine_similarity, 0.8475
0.60, cosine_similarity, 0.955
0.60, scaled_cosine_similarity, 0.8925
0.60, cosine_similarity, 0.9325
0.60, scaled_cosine_similarity, 0.8625
0.60, cosine_similarity, 0.94
0.60, scaled_cosine_similarity, 0.9025
0.60, cosine_similarity, 0.91
0.60, scaled_cosine_similarity, 0.8675
0.60, cosine_similarity, 0.9325
0.60, scaled_cosine_similarity, 0.88
0.60, cosine_similarity, 0.95
0.60, scaled_cosine_similarity, 0.86
0.60, cosine_similarity, 0.945
0.60, scaled_cosine_similarity, 0.9
0.60, cosine_similarity, 0.94
0.60, scaled_cosine_similarity, 0.8825
0.60, cosine_similarity, 0.9525
0.60, scaled_cosine_similarity, 0.8775
0.70, cosine_similarity, 0.935
0.70, scaled_cosine_similarity, 0.88
0.70, cosine_similarity, 0.94
0.70, scaled_cosine_similarity, 0.875
0.70, cosine_similarity, 0.9475
0.70, scaled_cosine_similarity, 0.8725
0.70, cosine_similarity, 0.92
0.70, scaled_cosine_similarity, 0.8675
0.70, cosine_similarity, 0.94
0.70, scaled_cosine_similarity, 0.875
0.70, cosine_similarity, 0.925
0.70, scaled_cosine_similarity, 0.8675
0.70, cosine_similarity, 0.925
0.70, scaled_cosine_similarity, 0.8675
0.70, cosine_similarity, 0.935
0.70, scaled_cosine_similarity, 0.9
0.70, cosine_similarity, 0.9475
0.70, scaled_cosine_similarity, 0.88
0.70, cosine_similarity, 0.9375
0.70, scaled_cosine_similarity, 0.855
0.80, cosine_similarity, 0.9375
0.80, scaled_cosine_similarity, 0.89
0.80, cosine_similarity, 0.9475
0.80, scaled_cosine_similarity, 0.875
0.80, cosine_similarity, 0.92
0.80, scaled_cosine_similarity, 0.8975
0.80, cosine_similarity, 0.935
0.80, scaled_cosine_similarity, 0.9075
0.80, cosine_similarity, 0.915
0.80, scaled_cosine_similarity, 0.8675
0.80, cosine_similarity, 0.9375
0.80, scaled_cosine_similarity, 0.8825
0.80, cosine_similarity, 0.9425
0.80, scaled_cosine_similarity, 0.905
0.80, cosine_similarity, 0.935
0.80, scaled_cosine_similarity, 0.855
0.80, cosine_similarity, 0.9275
0.80, scaled_cosine_similarity, 0.8825
0.80, cosine_similarity, 0.93
0.80, scaled_cosine_similarity, 0.8875
0.90, cosine_similarity, 0.91
0.90, scaled_cosine_similarity, 0.8475
0.90, cosine_similarity, 0.9025
0.90, scaled_cosine_similarity, 0.88
0.90, cosine_similarity, 0.9025
0.90, scaled_cosine_similarity, 0.8425
0.90, cosine_similarity, 0.92
0.90, scaled_cosine_similarity, 0.865
0.90, cosine_similarity, 0.92
0.90, scaled_cosine_similarity, 0.8775
0.90, cosine_similarity, 0.9025
0.90, scaled_cosine_similarity, 0.89
0.90, cosine_similarity, 0.91
0.90, scaled_cosine_similarity, 0.8825
0.90, cosine_similarity, 0.91
0.90, scaled_cosine_similarity, 0.845
0.90, cosine_similarity, 0.95
0.90, scaled_cosine_similarity, 0.8925
0.90, cosine_similarity, 0.915
0.90, scaled_cosine_similarity, 0.87
1.00, cosine_similarity, 0.8725
1.00, scaled_cosine_similarity, 0.8675
1.00, cosine_similarity, 0.8975
1.00, scaled_cosine_similarity, 0.895
1.00, cosine_similarity, 0.8775
1.00, scaled_cosine_similarity, 0.8575
1.00, cosine_similarity, 0.86
1.00, scaled_cosine_similarity, 0.865
1.00, cosine_similarity, 0.87
1.00, scaled_cosine_similarity, 0.88
1.00, cosine_similarity, 0.8375
1.00, scaled_cosine_similarity, 0.8725
1.00, cosine_similarity, 0.865
1.00, scaled_cosine_similarity, 0.8775
1.00, cosine_similarity, 0.9025
1.00, scaled_cosine_similarity, 0.855
1.00, cosine_similarity, 0.8725
1.00, scaled_cosine_similarity, 0.8575
1.00, cosine_similarity, 0.885
1.00, scaled_cosine_similarity, 0.8925
